Bcode,YEAR,VAR,LOCATION,CLASS,CAVOL,FPROT,FSDS,FSR_S,FSR_W,FSR_C,BKFYELD
190380006,19,JASPER,DAVENPORT,Common,1305,8.7,10.8,NA,51,NA,50.3
190380007,19,WA8308,DAVENPORT,Common,1195,9.2,10.8,NA,54.8,NA,43.1
190380008,19,HRSW0053-0-0-3T,DAVENPORT,Common,1305,7.5,10.5,NA,51.8,NA,48
190380009,19,DEVOTE,DAVENPORT,Common,1300,10,15.4,NA,54.2,NA,45.7
190380010,19,WA8290,DAVENPORT,Common,1240,8.7,9.3,NA,52.8,NA,47.8
190380011,19,SWW10124-B-0-1-2,DAVENPORT,Common,1310,7.4,9,NA,53.5,NA,49.7
190380012,19,MAS11295-1-1-0-1,DAVENPORT,Common,1280,8.8,13.4,NA,52.8,NA,43.7
190380013,19,WA8305,DAVENPORT,Common,1245,7.8,11.9,NA,52.5,NA,45.6
190380014,19,WA8316,DAVENPORT,Common,1180,8.6,12.2,NA,54.5,NA,47
190380015,19,MAS100095-2-1-S 6-1-1,DAVENPORT,Common,1225,8.3,12.2,NA,53.3,NA,47.2
190380016,19,SWW11262-B-0-0-2,DAVENPORT,Common,1275,9.8,14.5,NA,52.8,NA,48
190380017,19,SWW11272-B-0-0-3,DAVENPORT,Common,1305,8.3,11.3,NA,52,NA,49.4
190380018,19,SWW13066-DH-4,DAVENPORT,Common,1210,8.5,7.6,NA,53.1,NA,50.5
190380019,19,SWW13104-DH-9,DAVENPORT,Common,1240,7.9,11.9,NA,51.7,NA,50.7
190380020,19,SWW12408-B-S-7-1-1,DAVENPORT,Common,1220,8.8,16.6,NA,55.3,NA,45.1
190380021,19,SWW12408-B-S-7-1-2,DAVENPORT,Common,1210,8.6,16.8,NA,54.7,NA,45.8
190380022,19,SWW12408-B-S-7-1-3,DAVENPORT,Common,1210,8.3,14.2,NA,55.3,NA,45.2
190380023,19,SWW12408-B-S-7-1-10,DAVENPORT,Common,1220,9.8,16,NA,55.1,NA,49
190380024,19,WXXERPHA2-1-2-0-1,DAVENPORT,Common,860,8.6,11.9,NA,70.7,NA,37.3
190380025,19,STEPHENS,DAVENPORT,Common,1200,9.6,13.1,NA,54.8,NA,45.5
190390001,19,CURIOSITY,PULLMAN,Common,1215,8.8,16,NA,58,NA,45.2
190390002,19,XERPHA,PULLMAN,Common,1200,8.5,13.1,NA,60.3,NA,46.7
190390003,19,BRUEHL,PULLMAN,Club,1280,9,13.1,NA,55.4,NA,47.3
190390004,19,OTTO,PULLMAN,Common,1230,9.3,15.1,NA,57.8,NA,49
190390005,19,PUMA,PULLMAN,Common,1255,8.4,11.3,NA,57.1,NA,50.8
190390006,19,JASPER,PULLMAN,Common,1320,8.1,10.8,NA,52.2,NA,51.5
190390007,19,WA8308,PULLMAN,Common,1280,8.1,10.2,NA,58.1,NA,46.4
190390008,19,HRSW0053-0-0-3T,PULLMAN,Common,1300,8.8,12.5,NA,53.2,NA,49.5
190390009,19,DEVOTE,PULLMAN,Common,1280,9.1,13.4,NA,57.5,NA,48.2
190390010,19,WA8290,PULLMAN,Common,1265,8.6,12.8,NA,58.2,NA,48.8
190390011,19,SWW10124-B-0-1-2,PULLMAN,Common,1260,8.2,9.3,NA,52.5,NA,50.6
190390012,19,MAS11295-1-1-0-1,PULLMAN,Common,1310,8.2,8.4,NA,56.3,NA,45.4
190390013,19,WA8305,PULLMAN,Common,1285,8.3,11.3,NA,56,NA,47.4
190390014,19,WA8316,PULLMAN,Common,1210,8.7,9.9,NA,59.5,NA,48.9
190390015,19,MAS100095-2-1-S 6-1-1,PULLMAN,Common,1265,8.9,13.7,NA,54.3,NA,48.6
190390016,19,SWW11262-B-0-0-2,PULLMAN,Common,1285,8.8,10.2,NA,58.1,NA,49.3
190390017,19,SWW11272-B-0-0-3,PULLMAN,Common,1300,8.3,11.3,NA,55.6,NA,50.1
190390018,19,SWW13066-DH-4,PULLMAN,Common,1255,8.1,9.6,NA,57.6,NA,51
190390019,19,SWW13104-DH-9,PULLMAN,Common,1300,9.2,14.2,NA,55.9,NA,50.8
190390020,19,SWW12408-B-S-7-1-1,PULLMAN,Common,1225,8.6,13.1,NA,59.6,NA,47.6
190390021,19,SWW12408-B-S-7-1-2,PULLMAN,Common,1220,8.1,12.8,NA,57.5,NA,47.3
190390022,19,SWW12408-B-S-7-1-3,PULLMAN,Common,1275,8.6,14.2,NA,59.5,NA,47.4
190390023,19,SWW12408-B-S-7-1-10,PULLMAN,Common,1240,9.2,13.9,NA,57.3,NA,49.1
190390024,19,WXXERPHA2-1-2-0-1,PULLMAN,Common,850,7.9,8.7,NA,69.8,NA,38.5
190390025,19,STEPHENS,PULLMAN,Common,1230,9.3,12.8,NA,53.9,NA,46.2
190410001,19,CURIOSITY,WATERVILLE,Common,1170,8,14.2,NA,54,NA,41
190410002,19,XERPHA,WATERVILLE,Common,1150,9.3,8.1,NA,56.3,NA,42.3
190410003,19,BRUEHL,WATERVILLE,Club,1245,7.7,7.3,NA,50.8,NA,44.7
190410004,19,OTTO,WATERVILLE,Common,1165,8.1,12.8,NA,52.3,NA,46.7
190410005,19,PUMA,WATERVILLE,Common,1135,11,8.4,NA,54.6,NA,46.2
190410006,19,JASPER,WATERVILLE,Common,1230,8.6,10.8,NA,52.7,NA,48.3
190410007,19,WA8308,WATERVILLE,Common,1175,8.6,7.9,NA,54.4,NA,43.4
190410008,19,HRSW0053-0-0-3T,WATERVILLE,Common,1200,9,11.3,NA,51.8,NA,45.1
190410009,19,DEVOTE,WATERVILLE,Common,1240,9.7,12.8,NA,53.9,NA,44.8
190410010,19,WA8290,WATERVILLE,Common,1175,8.7,12.2,NA,53.7,NA,46.1
190410011,19,SWW10124-B-0-1-2,WATERVILLE,Common,1205,8.8,9.9,NA,52.9,NA,46.6
190410012,19,MAS11295-1-1-0-1,WATERVILLE,Common,1150,8.8,9.6,NA,53.7,NA,40.7
190410013,19,WA8305,WATERVILLE,Common,1225,8.9,9.9,NA,51.4,NA,43.4
190410014,19,WA8316,WATERVILLE,Common,1145,8,7.9,NA,53.9,NA,45.5
190410015,19,MAS100095-2-1-S 6-1-1,WATERVILLE,Common,1180,8.8,11.6,NA,52.6,NA,45
190410016,19,SWW11262-B-0-0-2,WATERVILLE,Common,1225,8.8,9.3,NA,53.5,NA,46.9
190410017,19,SWW11272-B-0-0-3,WATERVILLE,Common,1250,7.8,8.7,NA,50.5,NA,47.7
190410018,19,SWW13066-DH-4,WATERVILLE,Common,1195,8.6,8.4,NA,52.3,NA,48.8
190410019,19,SWW13104-DH-9,WATERVILLE,Common,1130,7.5,12.2,NA,53.1,NA,49.2
190410020,19,SWW12408-B-S-7-1-1,WATERVILLE,Common,1200,9.2,13.9,NA,55.2,NA,43.1
190410021,19,SWW12408-B-S-7-1-2,WATERVILLE,Common,1150,8.4,13.9,NA,55,NA,44.4
190410022,19,SWW12408-B-S-7-1-3,WATERVILLE,Common,1170,8.2,13.4,NA,54.6,NA,42.9
190410023,19,SWW12408-B-S-7-1-10,WATERVILLE,Common,1125,9.5,13.4,NA,53.8,NA,47.7
190410024,19,WXXERPHA2-1-2-0-1,WATERVILLE,Common,785,8.8,9.3,NA,65.3,NA,34.9
190410025,19,STEPHENS,WATERVILLE,Common,1140,9,9,NA,53.3,NA,41.4
190570001,19,MAS100095-2-1-S 6-1-1,COOK FARM,Common,1220,8.1,9.9,NA,54.5,NA,47.8
190570002,19,WA8305,COOK FARM,Common,1190,8.9,10.2,NA,53,NA,46.7
190570003,19,WA8306,COOK FARM,Common,1175,8.8,11,NA,52.5,NA,48.7
190570004,19,MAS11295-1-1-0-1,COOK FARM,Common,1210,7.5,7.9,NA,54.7,NA,44.1
190570005,19,BRUNDAGE96,COOK FARM,Common,1255,7.3,8.1,NA,50.5,NA,49
190570006,19,MAGIC,COOK FARM,Common,1155,9.4,10.8,NA,53.1,NA,48.9
190570007,19,ORCF102,COOK FARM,Common,1135,9.1,10.5,NA,55,NA,44.5
190570008,19,STINGRAY,COOK FARM,Common,1200,7.6,6.7,NA,51.9,NA,46.6
190570009,19,STEPHENS,COOK FARM,Common,1185,9.2,11.9,NA,54,NA,46.2
190580001,19,MAS100095-2-1-S 6-1-1,PALOUSE CONSERVATION,Common,1215,8.1,10.5,NA,55.1,NA,48.1
190580002,19,WA8305,PALOUSE CONSERVATION,Common,1250,8.7,11.9,NA,52.7,NA,47.6
190580003,19,WA8306,PALOUSE CONSERVATION,Common,1240,8.1,9.9,NA,51.9,NA,49.1
190580004,19,MAS11295-1-1-0-1,PALOUSE CONSERVATION,Common,1225,7.8,8.1,NA,54,NA,44.2
190580005,19,BRUNDAGE96,PALOUSE CONSERVATION,Common,1220,7.9,8.1,NA,51.5,NA,48.6
190580006,19,MAGIC,PALOUSE CONSERVATION,Common,1215,8.4,10.5,NA,53,NA,48.5
190580007,19,ORCF102,PALOUSE CONSERVATION,Common,1205,9.5,11.3,NA,54.4,NA,45.6
190580008,19,STINGRAY,PALOUSE CONSERVATION,Common,1210,8.2,6.4,NA,52.9,NA,45.3
190580009,19,STEPHENS,PALOUSE CONSERVATION,Common,1160,9.2,10.8,NA,53.3,NA,46.2
190590001,19,MAS100095-2-1-S 6-1-1,WALLA WALLA,Common,1205,9.4,11.9,NA,53.4,NA,45.8
190590002,19,WA8305,WALLA WALLA,Common,1210,9.2,11.3,NA,53,NA,46.2
190590003,19,WA8306,WALLA WALLA,Common,1220,9.1,11.3,NA,52,NA,49.2
190590004,19,MAS11295-1-1-0-1,WALLA WALLA,Common,1235,9,10.5,NA,55.9,NA,45
190590005,19,BRUNDAGE96,WALLA WALLA,Common,1240,9.2,10.5,NA,50.3,NA,48.6
190590006,19,MAGIC,WALLA WALLA,Common,1170,9.6,11.6,NA,50.9,NA,48.3
190590007,19,ORCF102,WALLA WALLA,Common,1180,9.6,11.9,NA,53.4,NA,46.8
190590008,19,STINGRAY,WALLA WALLA,Common,1135,9.3,9,NA,51.1,NA,46.1
190590009,19,STEPHENS,WALLA WALLA,Common,1150,9.1,10.2,NA,52.8,NA,47.9
190600001,19,SWW15468-DH-4,PALOUSE CONSERVATION,Common,1160,7.1,6.7,NA,54.4,NA,44.7
190600002,19,SWW15468-DH-12,PALOUSE CONSERVATION,Common,1225,8,8.7,NA,55,NA,47.5
190600003,19,SWW15468-DH-22,PALOUSE CONSERVATION,Common,1155,8.9,7.6,NA,53.8,NA,48.5
190600004,19,SWW15473-DH-15,PALOUSE CONSERVATION,Common,1160,9.1,8.7,NA,56.9,NA,45.7
190600005,19,SWW15474-DH-2,PALOUSE CONSERVATION,Common,1125,9.1,9,NA,57.4,NA,48.3
190600006,19,SWW15478-DH-17,PALOUSE CONSERVATION,Common,1240,7.6,7.6,NA,54.5,NA,49.8
190600007,19,SWW15488-DH-2,PALOUSE CONSERVATION,Common,1130,8.6,7,NA,54.8,NA,48.1
190600008,19,SWW15488-DH-4,PALOUSE CONSERVATION,Common,1190,8.1,7,NA,54.8,NA,48.3
190600009,19,SWW15497-DH-13,PALOUSE CONSERVATION,Common,1195,7.6,8.4,NA,54.3,NA,43
190600010,19,SWW15497-DH-14,PALOUSE CONSERVATION,Common,1265,7.6,8.4,NA,54.8,NA,45
190600011,19,SWW15497-DH-18,PALOUSE CONSERVATION,Common,1155,7.8,9.9,NA,55.4,NA,42.3
190600012,19,SWW13326-B-2-1-1-1,PALOUSE CONSERVATION,Common,1170,8,8.4,NA,55.5,NA,43.3
190600013,19,ORCF102,PALOUSE CONSERVATION,Common,1230,8.1,8.4,NA,55.7,NA,45.8
