"eval_class","replicate","training_source","preproc","n_train","best_ncomp_caret","cor_caret","rmse_caret","bias_caret","slope_caret","best_lambda_lasso","n_nonzero_lasso","cor_lasso","rmse_lasso","bias_lasso","slope_lasso","cor_local","rmse_local","bias_local","slope_local"
"CLUB",6,"Opposing","msc",1551,20,0.460317528714059,74.7569422617338,24.2692330140534,0.755925465431308,0.00196841944728661,139,0.430613566981417,77.6051010313956,28.9980738748224,0.730924556192526,0.314082502411305,77.384663594125,16.0367677978559,0.654851319498674
"CLUB",6,"Both","raw",2268,24,0.6645744067581,59.4453876298451,7.32747809975064,1.12704043614329,0.000907785399193755,44,0.34185544143282,74.0080929348433,2.38186766413076,0.851774954730305,0.684334359719819,57.6302265373899,2.51510748912837,0.902193664388758
"CLUB",6,"Both","snv",2268,30,0.664767088587564,59.3989123285396,7.1209502230744,1.12500725897597,0.00196841944728661,142,0.670428303297516,59.9720941899247,10.117958075378,1.23012793995939,0.739906588300962,53.3800209879691,7.26543277189372,1.03608531503391
"CLUB",6,"Both","d1",2268,30,0.631955341676511,61.5415521273706,6.67945493555713,1.1382146794674,0.00196841944728661,112,0.618931971447658,62.8758589154541,9.07960218901156,1.19694450155246,0.680199791068816,58.0517041701242,5.84048296696129,0.922552180437058
"CLUB",6,"Both","d2",2268,29,0.660358784776509,59.8547707338211,7.98225955469401,1.13681778341206,0.00196841944728661,137,0.674557087850577,59.0198189925171,8.13601647504892,1.16135712606864,0.710718921615644,55.5850628453955,4.21403272724667,0.929151008627995
"CLUB",6,"Both","snvd1",2268,30,0.642723967103519,61.0025948987504,7.67731273494478,1.14457504214582,0.00196841944728661,133,0.630739445526344,61.8003834178541,7.89561547494646,1.14854509580897,0.711189637330875,55.4677276197041,4.73917467452967,0.963334912776033
"CLUB",6,"Both","snvd2",2268,30,0.68493053764116,58.2050990238298,7.99832224721985,1.14769908879255,0.00196841944728661,141,0.683918199787326,58.381007261117,8.40738923195751,1.15707305526582,0.71597172534078,54.978453373105,3.29780756870042,1.03773162646005
"CLUB",6,"Both","msc",2268,30,0.674518112846359,58.7662893607647,6.46483481612525,1.15117341248095,0.00196841944728661,143,0.671532602233805,59.5362289879264,8.66655314013834,1.20630077272999,0.692593541857227,57.6615634755107,9.93041989444028,0.932589667458314
"CLUB",7,"Matching","raw",717,16,0.771960867473556,57.4670292831695,0.910452590954223,1.24169544811255,0.00123719163453216,40,0.586787029211974,72.6600661141841,4.41827226405856,1.35913359090417,0.760542290646972,57.288231068437,-1.1428705955669,1.06833381716129
"CLUB",7,"Matching","snv",717,18,0.783017409050359,55.0109263089452,0.251683286734572,1.08989110130682,0.00679098502995571,118,0.795376227348884,54.3957282755558,1.72470720581079,1.17915630971,0.706288692833455,62.2799961692867,-0.481375769399513,1.01047287271108
"CLUB",7,"Matching","d1",717,22,0.717336349201428,62.3497393112038,-0.400908016572616,1.22144795008216,0.0108047182231813,65,0.726230827991022,62.1193796110801,0.0432406325572492,1.28588199682987,0.757572139699985,58.483318331789,-4.19424129074981,1.18220099578172
"CLUB",7,"Matching","d2",717,28,0.745619139280717,58.7969391438958,0.472241634045815,1.07434366473088,0.128600808061057,48,0.711092097723857,62.9729686680697,1.02696623339506,1.23232503985189,0.771279797545993,56.7272268758965,-2.85343614972011,1.14608840389229
"CLUB",7,"Matching","snvd1",717,20,0.725499690600201,61.4588209480768,-0.672350201896884,1.19818693445338,0.00268269579527972,99,0.742190010752823,60.2851216899041,-1.0380244370265,1.23794436773538,0.752722939382427,58.69365509404,-3.43944196144446,1.15529878746403
"CLUB",7,"Matching","snvd2",717,27,0.777995812114645,55.3516759052665,0.577627705308187,1.045712780686,0.0692366640267872,56,0.762040765755112,58.1041936501392,0.442550720777908,1.20611462390314,0.737743686634839,59.4331719330692,-0.98357563322492,1.0344729337344
"CLUB",7,"Matching","msc",717,18,0.781163945042154,55.2478530365209,0.560266392017152,1.09524772697256,0.00426827213116382,137,0.785280741783152,55.4604479340694,0.748009620769328,1.17795180154613,0.776014845263488,55.7569967583239,-3.20621376769276,1.07051034652778
"CLUB",7,"Opposing","raw",1551,22,0.434276204717579,86.5327406980442,32.5358582148579,0.757017132064598,0.00581709132937436,45,0.28670330067495,89.5197152103775,25.8829480230772,0.618731131425688,0.417109943437012,83.8445434834997,23.0725748176146,0.781300767976668
"CLUB",7,"Opposing","snv",1551,25,0.401874060098937,86.1538606139484,27.5729605861604,0.728499287191386,0.00196841944728661,136,0.442602921939075,86.5256013886444,34.7677124944301,0.839497843897239,0.377345992478862,85.4230756672019,23.4552496304398,0.759556348524195
"CLUB",7,"Opposing","d1",1551,30,0.345514980750413,90.6336828868243,33.3941949974848,0.643029513878883,0.00168612883828688,135,0.399160180265749,89.3565775550303,37.3052610753233,0.789679585484191,0.374792679245969,87.1548596219014,28.9761140372042,0.762930852462666
"CLUB",7,"Opposing","d2",1551,30,0.49891664229295,82.2577212483854,30.7605522375754,0.939666180310323,0.00196841944728661,139,0.492462439489488,83.3870591019666,32.9882532374047,0.958704212740356,0.527520269768138,79.7392252388178,27.667671498459,0.943019198757942
"CLUB",7,"Opposing","snvd1",1551,30,0.400961328120173,86.7624288549644,29.7942349221724,0.745023797960589,0.00196841944728661,68,0.384414620620318,89.6292833107123,37.1307808314431,0.813824314556353,0.475407127015383,81.2339171046313,24.2816129120238,0.903574844766036
"CLUB",7,"Opposing","snvd2",1551,30,0.427184095553888,87.1688529931285,33.7554175587861,0.765359520441847,0.00365616014408519,138,0.450293491259399,86.0554015655535,34.1412021399015,0.82502645059475,0.526741584998999,78.3570394028545,23.3741878065257,0.969406258376546
"CLUB",7,"Opposing","msc",1551,24,0.390726661237824,87.2159729643134,28.4429840562155,0.689037892417116,0.00196841944728661,139,0.4079063140108,88.269153891449,34.4253843234612,0.742102107643451,0.355098124168687,87.4996951064381,25.8653085646368,0.675807775123411
"CLUB",7,"Both","raw",2268,24,0.665325898481822,66.5788447643171,6.44789856831268,1.17802755875643,0.000907785399193755,85,0.492967302443413,78.1001742118257,12.6262239766022,1.26468195726931,0.76314548901178,57.4712085521912,-1.97803755435152,1.13932927083111
"CLUB",7,"Both","snv",2268,29,0.696303966280393,64.2085176745874,3.69430268649693,1.22061284213978,0.00268269579527972,134,0.721490502740346,63.9448659024585,9.08236623629101,1.37211224366775,0.803495380667247,53.9174873189559,-0.835739855085789,1.22122397769609
"CLUB",7,"Both","d1",2268,30,0.575626562341879,72.5922834349697,8.24442084030984,1.1151776850139,0.00196841944728661,86,0.643261146961286,70.207236143073,10.2509804315302,1.42795405507228,0.771330673729715,56.6003410201832,-3.25240716350355,1.12714899995081
"CLUB",7,"Both","d2",2268,30,0.684203824888379,65.7051859572755,6.22100773463572,1.26889552920691,0.00196841944728661,136,0.695082032378738,65.4587276692081,7.14401320194172,1.33376776922272,0.792692397614376,55.0393099649754,1.1009114143092,1.21496707079006
"CLUB",7,"Both","snvd1",2268,30,0.653092125759,68.1117947279557,8.48024175149758,1.24706513715522,0.00196841944728661,128,0.643674590455973,69.440891119947,8.79232663063268,1.34668098826257,0.751738823768572,58.4256280251246,-0.186352302167379,1.1172640364454
"CLUB",7,"Both","snvd2",2268,30,0.706711230939931,64.2512728286216,6.72945499746069,1.30339287514862,0.00196841944728661,142,0.692809596225228,65.1732510754929,7.15079899661615,1.27453264694239,0.749206523547011,58.6937989105888,-3.43119787959291,1.10382682104848
"CLUB",7,"Both","msc",2268,29,0.677569133756127,65.4840761666487,4.14047456774142,1.18338347061676,0.00196841944728661,141,0.689157145136548,65.8051116645324,8.55356358296307,1.29828315004156,0.780256640128139,55.4731723989513,-2.23839249548381,1.10832083113421
"CLUB",8,"Matching","raw",717,16,0.662815185774544,56.2888882787931,-6.31908628147713,0.898552111166146,0.00105976624867607,139,0.575732330049302,60.9568536154299,-3.72331412497363,0.936459547257551,0.640198199310355,57.5220500693175,-4.40648279563582,0.898359642652248
"CLUB",8,"Matching","snv",717,19,0.657028430115849,56.7611233566377,-5.7564293754363,0.874718613026554,0.00313183100524384,137,0.670685146992136,55.4234660891415,-4.58861620944278,0.937315206156366,0.67658795237614,54.7447290818855,-0.817856221904481,0.984075071497884
"CLUB",8,"Matching","d1",717,28,0.636300710934321,57.9029553913108,-2.87136890571207,0.862721242545103,0.00268269579527972,58,0.640400991049285,57.2587880771323,-3.58434411083466,0.94816483334115,0.659167277808979,55.9853044197932,-3.06367209355537,0.982568746719496
"CLUB",8,"Matching","d2",717,30,0.627785651456692,58.6397959741345,-5.42823797858656,0.855795742793717,0.00925521590979134,124,0.647838282826467,57.1349923333383,-4.87910485516185,0.891163229259873,0.637381195761446,57.6293086065217,-4.20502288493941,0.907735919031725
"CLUB",8,"Matching","snvd1",717,29,0.642030989425964,57.4736688401551,-2.38122801598453,0.870777539888467,0.00268269579527972,122,0.658284339046021,56.0930506498987,-2.49175207710862,0.940498960572574,0.68388954963115,54.8458968468266,-3.37679398468542,0.871779721432806
"CLUB",8,"Matching","snvd2",717,30,0.656864200400467,56.7042030081709,-5.17957815062456,0.876207770946277,0.0147254042762412,111,0.678685446592539,54.8624174943838,-3.49401904804626,0.922965417335394,0.662488944145314,55.8226417709987,-3.36864425883995,0.957145053273213
"CLUB",8,"Matching","msc",717,18,0.660742661914462,56.4639535100516,-5.97112602174648,0.886167989173188,0.00313183100524384,128,0.673525786565193,55.2426946475347,-5.2930688104792,0.95625838927352,0.668497262240123,55.6279989392449,-2.46193148446324,0.896883821497057
"CLUB",8,"Opposing","raw",1551,21,0.365896193371791,76.1932711616966,21.2108093345555,0.532421198827918,0.00679098502995571,45,0.301701483677623,72.3575317100387,7.68244044881524,0.643185371522136,0.387528567436034,70.4798179575213,7.43915692262951,0.661607102216362
"CLUB",8,"Opposing","snv",1551,25,0.336845633255362,76.2935526817651,18.3881379921966,0.5086942549723,0.00196841944728661,136,0.36092421846793,75.9914475972629,22.4629632521684,0.554356082350137,0.302245932915559,73.9112634685118,7.3297447507302,0.532456381088823
"CLUB",8,"Opposing","d1",1551,30,0.330332171121708,77.492980607488,20.8237187641616,0.490649840900731,0.00168612883828688,135,0.334364142846242,77.150903631351,24.307966964644,0.538311650588318,0.319373406306821,74.7406410824551,15.671150939408,0.549293560933779
"CLUB",8,"Opposing","d2",1551,30,0.401616096954458,73.7717114510391,21.6202072097068,0.617735131352829,0.00229797096904696,139,0.407097949475169,73.3315511765696,22.4193582473177,0.649865041148903,0.417573329271866,71.2107616430164,14.8343440592759,0.645897369434268
"CLUB",8,"Opposing","snvd1",1551,30,0.352033602822905,76.5000288475138,20.0585297839571,0.514456641495307,0.00196841944728661,68,0.345579211920674,76.0066613874293,23.6477771308209,0.577592641237882,0.408841079706509,69.6548743380612,11.2805294698532,0.732379747255887
"CLUB",8,"Opposing","snvd2",1551,30,0.36378237123458,76.6119485361188,22.5632312851163,0.531798904221928,0.00365616014408519,138,0.368862672845546,75.3448940155881,20.7125017794463,0.55716989233309,0.407909967215071,71.006812913233,14.3673505199731,0.66652885588423
"CLUB",8,"Opposing","msc",1551,24,0.342632924435384,76.1010933320715,18.5497313433364,0.515884380739567,0.00196841944728661,139,0.355858423124206,76.0622120510433,21.2282650626304,0.53949810553998,0.34579695297825,72.4883730116777,6.35585623234602,0.5787164119166
